K00002	alcohol dehydrogenase (NADP+)
K02842	FZD9_frizzled 9/10
K02857	RHBDL1_2_rhomboid-related protein 1/2/3
K02863	RP-large subunit ribosomal protein L1
K02864	RP-large subunit ribosomal protein L10
K02865	RP-large subunit ribosomal protein L10Ae
K02866	RP-large subunit ribosomal protein L10e
K02867	RP-large subunit ribosomal protein L11
K02868	RP-large subunit ribosomal protein L11e
K02870	RP-large subunit ribosomal protein L12e
K02871	RP-large subunit ribosomal protein L13
K02872	RP-large subunit ribosomal protein L13Ae
K02873	RP-large subunit ribosomal protein L13e
K02874	RP-large subunit ribosomal protein L14
K02875	RP-large subunit ribosomal protein L14e
K02876	RP-large subunit ribosomal protein L15
K02877	RP-large subunit ribosomal protein L15e
K02878	RP-large subunit ribosomal protein L16
K02879	RP-large subunit ribosomal protein L17
K02880	RP-large subunit ribosomal protein L17e
K02881	RP-large subunit ribosomal protein L18
K02882	RP-large subunit ribosomal protein L18Ae
K02883	RP-large subunit ribosomal protein L18e
K02884	RP-large subunit ribosomal protein L19
K02885	RP-large subunit ribosomal protein L19e
K02886	RP-large subunit ribosomal protein L2
K02887	RP-large subunit ribosomal protein L20
K02888	RP-large subunit ribosomal protein L21
K02889	RP-large subunit ribosomal protein L21e
K02890	RP-large subunit ribosomal protein L22
K02891	RP-large subunit ribosomal protein L22e
K02892	RP-large subunit ribosomal protein L23
K02893	RP-large subunit ribosomal protein L23Ae
K02894	RP-large subunit ribosomal protein L23e
K02895	RP-large subunit ribosomal protein L24
K02896	RP-large subunit ribosomal protein L24e
K02898	RP-large subunit ribosomal protein L26e
K02899	RP-large subunit ribosomal protein L27
K02900	RP-large subunit ribosomal protein L27Ae
K02901	RP-large subunit ribosomal protein L27e
K02902	RP-large subunit ribosomal protein L28
K02903	RP-large subunit ribosomal protein L28e
K02905	RP-large subunit ribosomal protein L29e
K02906	RP-large subunit ribosomal protein L3
K02907	RP-large subunit ribosomal protein L30
K02908	RP-large subunit ribosomal protein L30e
K02910	RP-large subunit ribosomal protein L31e
K02911	RP-large subunit ribosomal protein L32
K02912	RP-large subunit ribosomal protein L32e
K02913	RP-large subunit ribosomal protein L33
K02915	RP-large subunit ribosomal protein L34e
K02916	RP-large subunit ribosomal protein L35
K02917	RP-large subunit ribosomal protein L35Ae
K02918	RP-large subunit ribosomal protein L35e
K02919	RP-large subunit ribosomal protein L36
K02920	RP-large subunit ribosomal protein L36e
K02921	RP-large subunit ribosomal protein L37Ae
K02922	RP-large subunit ribosomal protein L37e
K02923	RP-large subunit ribosomal protein L38e
K02924	RP-large subunit ribosomal protein L39e
K02925	RP-large subunit ribosomal protein L3e
K02926	RP-large subunit ribosomal protein L4
K02927	RP-ubiquitin-large subunit ribosomal protein L40e
K02928	RP-large subunit ribosomal protein L41e
K02929	RP-large subunit ribosomal protein L44e
K02930	RP-large subunit ribosomal protein L4e
K02932	RP-large subunit ribosomal protein L5e
K02934	RP-large subunit ribosomal protein L6e
K02935	RP-large subunit ribosomal protein L7/L12
K02936	RP-large subunit ribosomal protein L7Ae
K02937	RP-large subunit ribosomal protein L7e
K02938	RP-large subunit ribosomal protein L8e
K02939	RP-large subunit ribosomal protein L9
K02940	RP-large subunit ribosomal protein L9e
K02941	RP-large subunit ribosomal protein LP0
K02942	RP-large subunit ribosomal protein LP1
K02943	RP-large subunit ribosomal protein LP2
K02946	RP-small subunit ribosomal protein S10
K02947	RP-small subunit ribosomal protein S10e
K02948	RP-small subunit ribosomal protein S11
K02949	RP-small subunit ribosomal protein S11e
K02950	RP-small subunit ribosomal protein S12
K02951	RP-small subunit ribosomal protein S12e
K02953	RP-small subunit ribosomal protein S13e
K02954	RP-small subunit ribosomal protein S14
K02955	RP-small subunit ribosomal protein S14e
K02956	RP-small subunit ribosomal protein S15
K02957	RP-small subunit ribosomal protein S15Ae
K02958	RP-small subunit ribosomal protein S15e
K02959	RP-small subunit ribosomal protein S16
K02960	RP-small subunit ribosomal protein S16e
K02961	RP-small subunit ribosomal protein S17
K02962	RP-small subunit ribosomal protein S17e
K02963	RP-small subunit ribosomal protein S18
K02964	RP-small subunit ribosomal protein S18e
K02966	RP-small subunit ribosomal protein S19e
K02967	RP-small subunit ribosomal protein S2
K02969	RP-small subunit ribosomal protein S20e
K02970	RP-small subunit ribosomal protein S21
K02971	RP-small subunit ribosomal protein S21e
K02973	RP-small subunit ribosomal protein S23e
K02974	RP-small subunit ribosomal protein S24e
K02975	RP-small subunit ribosomal protein S25e
K02976	RP-small subunit ribosomal protein S26e
K02977	RP-ubiquitin-small subunit ribosomal protein S27Ae
K02978	RP-small subunit ribosomal protein S27e
K02979	RP-small subunit ribosomal protein S28e
K02980	RP-small subunit ribosomal protein S29e
K02981	RP-small subunit ribosomal protein S2e
K02983	RP-small subunit ribosomal protein S30e
K02984	RP-small subunit ribosomal protein S3Ae
K02985	RP-small subunit ribosomal protein S3e
K02987	RP-small subunit ribosomal protein S4e
K02988	RP-small subunit ribosomal protein S5
K02989	RP-small subunit ribosomal protein S5e
K02990	RP-small subunit ribosomal protein S6
K02991	RP-small subunit ribosomal protein S6e
K02992	RP-small subunit ribosomal protein S7
K02993	RP-small subunit ribosomal protein S7e
K02995	RP-small subunit ribosomal protein S8e
K02996	RP-small subunit ribosomal protein S9
K02997	RP-small subunit ribosomal protein S9e
K02998	RP-small subunit ribosomal protein SAe
K02999	DNA-directed RNA polymerase I subunit RPA1
K03000	DNA-directed RNA polymerase I subunit RPA12
K03002	DNA-directed RNA polymerase I subunit RPA2
K03004	DNA-directed RNA polymerase I subunit RPA43
K03005	DNA-directed RNA polymerase I subunit RPA49
K03006	DNA-directed RNA polymerase II subunit RPB1
K03007	DNA-directed RNA polymerases I, II, and III subunit RPABC5
K03008	DNA-directed RNA polymerase II subunit RPB11
K03009	DNA-directed RNA polymerases I, II, and III subunit RPABC4
K03010	DNA-directed RNA polymerase II subunit RPB2
K03011	DNA-directed RNA polymerase II subunit RPB3
K03012	DNA-directed RNA polymerase II subunit RPB4
K03013	DNA-directed RNA polymerases I, II, and III subunit RPABC1
K03014	DNA-directed RNA polymerases I, II, and III subunit RPABC2
K03015	DNA-directed RNA polymerase II subunit RPB7
K03016	DNA-directed RNA polymerases I, II, and III subunit RPABC3
K03017	DNA-directed RNA polymerase II subunit RPB9
K03018	DNA-directed RNA polymerase III subunit RPC1
K03019	DNA-directed RNA polymerase III subunit RPC11
K03020	DNA-directed RNA polymerases I and III subunit RPAC2
K03021	DNA-directed RNA polymerase III subunit RPC2
K03022	DNA-directed RNA polymerase III subunit RPC8
K03023	DNA-directed RNA polymerase III subunit RPC3
K03024	DNA-directed RNA polymerase III subunit RPC7
K03025	DNA-directed RNA polymerase III subunit RPC6
K03026	DNA-directed RNA polymerase III subunit RPC4
K03027	DNA-directed RNA polymerases I and III subunit RPAC1
K03028	26S proteasome regulatory subunit N1
K03029	26S proteasome regulatory subunit N10
K03030	26S proteasome regulatory subunit N11
K03031	26S proteasome regulatory subunit N12
K03032	26S proteasome regulatory subunit N2
K03033	26S proteasome regulatory subunit N3
K03035	26S proteasome regulatory subunit N5
K03036	26S proteasome regulatory subunit N6
K03037	26S proteasome regulatory subunit N7
K03038	26S proteasome regulatory subunit N8
K03039	26S proteasome regulatory subunit N9
K03061	26S proteasome regulatory subunit T1
K03062	26S proteasome regulatory subunit T2
K03063	26S proteasome regulatory subunit T3
K03064	26S proteasome regulatory subunit T4
K03065	26S proteasome regulatory subunit T5
K03066	26S proteasome regulatory subunit T6
K03068	LRP5_low density lipoprotein receptor-related protein 5/6
K03083	glycogen synthase kinase 3 beta
K03094	S-phase kinase-associated protein 1
K03097	casein kinase II subunit alpha
K03099	son of sevenless
K03102	squid
K03104	signal recognition particle subunit SRP14
K03105	signal recognition particle subunit SRP19
K03106	signal recognition particle subunit SRP54
K03107	signal recognition particle subunit SRP68
K03108	signal recognition particle subunit SRP72
K03109	signal recognition particle subunit SRP9
K03113	translation initiation factor 1
K03115	casein kinase II subunit beta
K03120	transcription initiation factor TFIID TATA-box-binding protein
K03122	transcription initiation factor TFIIA large subunit
K03123	transcription initiation factor TFIIA small subunit
K03124	transcription initiation factor TFIIB
K03125	transcription initiation factor TFIID subunit 1
K03126	transcription initiation factor TFIID subunit 12
K03127	transcription initiation factor TFIID subunit 13
K03128	transcription initiation factor TFIID subunit 2
K03129	transcription initiation factor TFIID subunit 4
K03130	transcription initiation factor TFIID subunit 5
K03131	transcription initiation factor TFIID subunit 6
K03132	transcription initiation factor TFIID subunit 7
K03133	transcription initiation factor TFIID subunit 9B
K03134	transcription initiation factor TFIID subunit 10
K03135	transcription initiation factor TFIID subunit 11
K03136	transcription initiation factor TFIIE subunit alpha
K03137	transcription initiation factor TFIIE subunit beta
K03138	transcription initiation factor TFIIF subunit alpha
K03139	transcription initiation factor TFIIF subunit beta
K03141	transcription initiation factor TFIIH subunit 1
K03142	transcription initiation factor TFIIH subunit 2
K03143	transcription initiation factor TFIIH subunit 3
K03144	transcription initiation factor TFIIH subunit 4
K03145	transcription elongation factor S-II
K03163	DNA topoisomerase I
K03164	DNA topoisomerase II
K03165	DNA topoisomerase III
K03178	ubiquitin-activating enzyme E1
K03213	naked cuticle
K03217	YidC/Oxa1 family membrane protein insertase
K03231	elongation factor 1-alpha
K03232	elongation factor 1-beta
K03233	elongation factor 1-gamma
K03234	elongation factor 2
K03236	translation initiation factor 1A
K03237	translation initiation factor 2 subunit 1
K03238	translation initiation factor 2 subunit 2
K03239	translation initiation factor eIF-2B subunit alpha
K03240	translation initiation factor eIF-2B subunit epsilon
K03241	translation initiation factor eIF-2B subunit gamma
K03242	translation initiation factor 2 subunit 3
K03243	translation initiation factor 5B
K03245	translation initiation factor 3 subunit J
K03246	translation initiation factor 3 subunit I
K03247	translation initiation factor 3 subunit H
K03248	translation initiation factor 3 subunit G
K03249	translation initiation factor 3 subunit F
K03250	translation initiation factor 3 subunit E
K03251	translation initiation factor 3 subunit D
K03252	translation initiation factor 3 subunit C
K03253	translation initiation factor 3 subunit B
K03254	translation initiation factor 3 subunit A
K03255	protein TIF31
K03256	tRNA (adenine58-N1)-methyltransferase non-catalytic subunit
K03257	translation initiation factor 4A
K03258	translation initiation factor 4B
K03259	translation initiation factor 4E
K03260	translation initiation factor 4G
K03262	translation initiation factor 5
K03263	translation initiation factor 5A
K03264	translation initiation factor 6
K03265	peptide chain release factor subunit 1
K03267	peptide chain release factor subunit 3
K03283	HSPA1_6_heat shock 70kDa protein 1/6/8
K03320	ammonium transporter, Amt family
K03331	L-xylulose reductase
K03341	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase
K03345	sentrin-specific protease 2 (axin associating molecule)
K03347	cullin 1
K03348	anaphase-promoting complex subunit 1
K03349	anaphase-promoting complex subunit 2
K03350	anaphase-promoting complex subunit 3
K03351	anaphase-promoting complex subunit 4
K03352	anaphase-promoting complex subunit 5
K03353	anaphase-promoting complex subunit 6
K03354	anaphase-promoting complex subunit 7
K03355	anaphase-promoting complex subunit 8
K03357	anaphase-promoting complex subunit 10
K03358	anaphase-promoting complex subunit 11
K03362	FBXW1_F-box and WD-40 domain protein 1/11
K03363	cell division cycle 20, cofactor of APC complex
K03364	cell division cycle 20-like protein 1, cofactor of APC complex
K03372	MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1
K03386	PRDX2_peroxiredoxin 2/4
K03392	aminocarboxymuconate-semialdehyde decarboxylase
K03424	TatD DNase family protein
K03426	NUDT12_NAD+ diphosphatase
K03434	N-acetylglucosaminylphosphatidylinositol deacetylase
K03439	tRNA (guanine-N7-)-methyltransferase
K03440	acid-sensing ion channel, other
K03447	MFS transporter, OPA family, solute carrier family 37 (glycerol-3-phosphate transporter), member 3
K03454	solute carrier family 25, member 46
K03456	serine/threonine-protein phosphatase 2A regulatory subunit A
K03462	nicotinamide phosphoribosyltransferase
K03469	ribonuclease HI
K03495	tRNA uridine 5-carboxymethylaminomethyl modification enzyme
K03504	DNA polymerase delta subunit 3
K03506	DNA polymerase epsilon subunit 4
K03509	DNA polymerase eta
K03511	DNA polymerase kappa
K03512	DNA polymerase lambda
K03514	PAPD5_non-canonical poly(A) RNA polymerase PAPD5/7
K03515	DNA repair protein REV1
K03518	aerobic carbon-monoxide dehydrogenase small subunit
K03521	electron transfer flavoprotein beta subunit
K03522	electron transfer flavoprotein alpha subunit
K03537	ribonuclease P/MRP protein subunit POP5
K03538	ribonuclease P protein subunit POP4
K03539	ribonuclease P/MRP protein subunit RPP1
K03540	ribonuclease P protein subunit RPR2
K03544	ATP-dependent Clp protease ATP-binding subunit ClpX
K03575	A/G-specific adenine glycosylase
K03595	GTPase
K03627	putative transcription factor
K03635	molybdopterin synthase catalytic subunit
K03644	lipoyl synthase
K03648	uracil-DNA glycosylase
K03650	tRNA modification GTPase
K03652	DNA-3-methyladenine glycosylase
K03660	N-glycosylase/DNA lyase
K03661	V-type H+-transporting ATPase 21kDa proteolipid subunit
K03662	V-type H+-transporting ATPase S1 subunit
K03671	thioredoxin
K03676	glutaredoxin 3
K03678	exosome complex component RRP45
K03679	exosome complex component RRP4
K03680	translation initiation factor eIF-2B subunit delta
K03681	exosome complex component RRP40
K03685	ribonuclease III
K03687	molecular chaperone GrpE
K03691	peptide-O-fucosyltransferase
K03695	ATP-dependent Clp protease ATP-binding subunit ClpB
K03754	translation initiation factor eIF-2B subunit beta
K03767	peptidyl-prolyl cis-trans isomerase A (cyclophilin A)
K03768	peptidyl-prolyl cis-trans isomerase B (cyclophilin B)
K03781	catalase
K03783	purine-nucleoside phosphorylase
K03825	L-phenylalanine/L-methionine N-acetyltransferase
K03833	selenocysteine-specific elongation factor
K03841	fructose-1,6-bisphosphatase I
K03842	beta-1,4-mannosyltransferase
K03843	alpha-1,3/alpha-1,6-mannosyltransferase
K03844	alpha-1,2-mannosyltransferase
K03845	alpha-1,3-mannosyltransferase
K03846	alpha-1,2-mannosyltransferase
K03847	alpha-1,6-mannosyltransferase
K03848	alpha-1,3-glucosyltransferase
K03849	alpha-1,3-glucosyltransferase
K03850	alpha-1,2-glucosyltransferase
K03857	phosphatidylinositol N-acetylglucosaminyltransferase subunit A
K03859	phosphatidylinositol N-acetylglucosaminyltransferase subunit C
K03860	phosphatidylinositol N-acetylglucosaminyltransferase subunit Q
K03861	phosphatidylinositol N-acetylglucosaminyltransferase subunit P
K03868	E3 ubiquitin-protein ligase RBX1
K03869	cullin 3
K03870	cullin 2
K03871	von Hippel-Lindau disease tumor supressor
K03872	elongin-C
K03873	elongin-B
K03875	F-box and leucine-rich repeat protein 1 (S-phase kinase-associated protein 2)
K03876	BTB domain ubiquitin protein ligase cofactor
K03878	NADH-ubiquinone oxidoreductase chain 1
K03879	NADH-ubiquinone oxidoreductase chain 2
K03880	NADH-ubiquinone oxidoreductase chain 3
K03881	NADH-ubiquinone oxidoreductase chain 4
K03882	NADH-ubiquinone oxidoreductase chain 4L
K03883	NADH-ubiquinone oxidoreductase chain 5
K03884	NADH-ubiquinone oxidoreductase chain 6
K03909	tissue factor pathway inhibitor
K03926	periplasmic divalent cation tolerance protein
K03927	carboxylesterase 2
K03934	NADH dehydrogenase (ubiquinone) Fe-S protein 1
K03935	NADH dehydrogenase (ubiquinone) Fe-S protein 2
K03936	NADH dehydrogenase (ubiquinone) Fe-S protein 3
K03937	NADH dehydrogenase (ubiquinone) Fe-S protein 4
K03938	NADH dehydrogenase (ubiquinone) Fe-S protein 5
K03939	NADH dehydrogenase (ubiquinone) Fe-S protein 6
K03940	NADH dehydrogenase (ubiquinone) Fe-S protein 7
K03941	NADH dehydrogenase (ubiquinone) Fe-S protein 8
K03942	NADH dehydrogenase (ubiquinone) flavoprotein 1
K03943	NADH dehydrogenase (ubiquinone) flavoprotein 2
K03945	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1
K03946	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2
K03949	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5
K03950	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6
K03951	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7
K03952	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8
K03953	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9
K03954	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10
K03955	NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein
K03958	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2
K03959	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3
K03960	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4
K03961	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5
K03962	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6
K03963	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7
K03964	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8
K03965	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9
K03966	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10
K03968	NADH dehydrogenase (ubiquinone) 1 subunit C2
K03979	GTPase
K04012	complement receptor type 2
K04043	molecular chaperone DnaK
K04077	chaperonin GroEL
K04078	chaperonin GroES
